Internal Name,Research,ID
IronPickaxe,1,1
DirtBlock,100,2
StoneBlock,100,3
IronBroadsword,1,4
Mushroom,30,5
IronShortsword,1,6
IronHammer,1,7
Torch,100,8
Wood,100,9
IronAxe,1,10
IronOre,100,11
CopperOre,100,12
GoldOre,100,13
SilverOre,100,14
CopperWatch,1,15
SilverWatch,1,16
GoldWatch,1,17
DepthMeter,1,18
GoldBar,25,19
CopperBar,25,20
SilverBar,25,21
IronBar,25,22
Gel,99,23
WoodenSword,1,24
WoodenDoor,1,25
StoneWall,400,26
Acorn,50,27
LesserHealingPotion,30,28
LifeCrystal,10,29
DirtWall,400,30
Bottle,25,31
WoodenTable,1,32
Furnace,1,33
WoodenChair,1,34
IronAnvil,1,35
WorkBench,1,36
Goggles,1,37
Lens,25,38
WoodenBow,1,39
WoodenArrow,99,40
FlamingArrow,99,41
Shuriken,99,42
SuspiciousLookingEye,3,43
DemonBow,1,44
WarAxeoftheNight,1,45
LightsBane,1,46
UnholyArrow,99,47
Chest,1,48
BandofRegeneration,1,49
MagicMirror,1,50
JestersArrow,99,51
AngelStatue,1,52
CloudinaBottle,1,53
HermesBoots,1,54
EnchantedBoomerang,1,55
DemoniteOre,100,56
DemoniteBar,25,57
Heart,n/a,58
CorruptSeeds,25,59
VileMushroom,25,60
EbonstoneBlock,100,61
GrassSeeds,25,62
Sunflower,5,63
Vilethorn,1,64
Starfury,1,65
PurificationPowder,99,66
VilePowder,99,67
RottenChunk,25,68
WormTooth,25,69
WormFood,3,70
CopperCoin,100,71
SilverCoin,100,72
GoldCoin,100,73
PlatinumCoin,100,74
FallenStar,50,75
CopperGreaves,1,76
IronGreaves,1,77
SilverGreaves,1,78
GoldGreaves,1,79
CopperChainmail,1,80
IronChainmail,1,81
SilverChainmail,1,82
GoldChainmail,1,83
GrapplingHook,1,84
Chain,100,85
ShadowScale,25,86
PiggyBank,1,87
MiningHelmet,1,88
CopperHelmet,1,89
IronHelmet,1,90
SilverHelmet,1,91
GoldHelmet,1,92
WoodWall,400,93
WoodPlatform,200,94
FlintlockPistol,1,95
Musket,1,96
MusketBall,99,97
Minishark,1,98
IronBow,1,99
ShadowGreaves,1,100
ShadowScalemail,1,101
ShadowHelmet,1,102
NightmarePickaxe,1,103
TheBreaker,1,104
Candle,1,105
CopperChandelier,1,106
SilverChandelier,1,107
GoldChandelier,1,108
ManaCrystal,10,109
LesserManaPotion,30,110
BandofStarpower,1,111
FlowerofFire,1,112
MagicMissile,1,113
DirtRod,1,114
ShadowOrb,1,115
Meteorite,100,116
MeteoriteBar,25,117
Hook,1,118
Flamarang,1,119
MoltenFury,1,120
FieryGreatsword,1,121
MoltenPickaxe,1,122
MeteorHelmet,1,123
MeteorSuit,1,124
MeteorLeggings,1,125
BottledWater,30,126
SpaceGun,1,127
RocketBoots,1,128
GrayBrick,100,129
GrayBrickWall,400,130
RedBrick,100,131
RedBrickWall,400,132
ClayBlock,100,133
BlueBrick,100,134
BlueBrickWall,400,135
ChainLantern,1,136
GreenBrick,100,137
GreenBrickWall,400,138
PinkBrick,100,139
PinkBrickWall,400,140
GoldBrick,100,141
GoldBrickWall,400,142
SilverBrick,100,143
SilverBrickWall,400,144
CopperBrick,100,145
CopperBrickWall,400,146
Spike,100,147
WaterCandle,1,148
Book,25,149
Cobweb,50,150
NecroHelmet,1,151
NecroBreastplate,1,152
NecroGreaves,1,153
Bone,99,154
Muramasa,1,155
CobaltShield,1,156
AquaScepter,1,157
LuckyHorseshoe,1,158
ShinyRedBalloon,1,159
Harpoon,1,160
SpikyBall,99,161
BallOHurt,1,162
BlueMoon,1,163
Handgun,1,164
WaterBolt,1,165
Bomb,99,166
Dynamite,99,167
Grenade,99,168
SandBlock,100,169
Glass,100,170
Sign,1,171
AshBlock,100,172
Obsidian,100,173
Hellstone,100,174
HellstoneBar,25,175
MudBlock,100,176
Sapphire,15,177
Ruby,15,178
Emerald,15,179
Topaz,15,180
Amethyst,15,181
Diamond,15,182
GlowingMushroom,100,183
Star,n/a,184
IvyWhip,1,185
BreathingReed,1,186
Flipper,1,187
HealingPotion,30,188
ManaPotion,30,189
BladeofGrass,1,190
ThornChakram,1,191
ObsidianBrick,100,192
ObsidianSkull,1,193
MushroomGrassSeeds,25,194
JungleGrassSeeds,25,195
WoodenHammer,1,196
StarCannon,1,197
BluePhaseblade,1,198
RedPhaseblade,1,199
GreenPhaseblade,1,200
PurplePhaseblade,1,201
WhitePhaseblade,1,202
YellowPhaseblade,1,203
MeteorHamaxe,1,204
EmptyBucket,1,205
WaterBucket,1,206
LavaBucket,1,207
JungleRose,1,208
Stinger,25,209
Vine,5,210
FeralClaws,1,211
AnkletoftheWind,1,212
StaffofRegrowth,1,213
HellstoneBrick,100,214
WhoopieCushion,1,215
Shackle,1,216
MoltenHamaxe,1,217
Flamelash,1,218
PhoenixBlaster,1,219
Sunfury,1,220
Hellforge,1,221
ClayPot,1,222
NaturesGift,1,223
Bed,1,224
Silk,25,225
LesserRestorationPotion,30,226
RestorationPotion,30,227
JungleHat,1,228
JungleShirt,1,229
JunglePants,1,230
MoltenHelmet,1,231
MoltenBreastplate,1,232
MoltenGreaves,1,233
MeteorShot,99,234
StickyBomb,99,235
BlackLens,1,236
Sunglasses,1,237
WizardHat,1,238
TopHat,1,239
TuxedoShirt,1,240
TuxedoPants,1,241
SummerHat,1,242
BunnyHood,1,243
PlumbersHat,1,244
PlumbersShirt,1,245
PlumbersPants,1,246
HerosHat,1,247
HerosShirt,1,248
HerosPants,1,249
FishBowl,1,250
ArchaeologistsHat,1,251
ArchaeologistsJacket,1,252
ArchaeologistsPants,1,253
BlackThread,5,254
GreenThread,5,255
NinjaHood,1,256
NinjaShirt,1,257
NinjaPants,1,258
Leather,5,259
RedHat,1,260
Goldfish,5,261
Robe,1,262
RobotHat,1,263
GoldCrown,1,264
HellfireArrow,99,265
Sandgun,1,266
GuideVoodooDoll,1,267
DivingHelmet,1,268
FamiliarShirt,1,269
FamiliarPants,1,270
FamiliarWig,1,271
DemonScythe,1,272
NightsEdge,1,273
DarkLance,1,274
Coral,25,275
Cactus,100,276
Trident,1,277
SilverBullet,99,278
ThrowingKnife,99,279
Spear,1,280
Blowpipe,1,281
Glowstick,100,282
Seed,99,283
WoodenBoomerang,1,284
Aglet,1,285
StickyGlowstick,100,286
PoisonedKnife,99,287
ObsidianSkinPotion,20,288
RegenerationPotion,20,289
SwiftnessPotion,20,290
GillsPotion,20,291
IronskinPotion,20,292
ManaRegenerationPotion,20,293
MagicPowerPotion,20,294
FeatherfallPotion,20,295
SpelunkerPotion,20,296
InvisibilityPotion,20,297
ShinePotion,20,298
NightOwlPotion,20,299
BattlePotion,20,300
ThornsPotion,20,301
WaterWalkingPotion,20,302
ArcheryPotion,20,303
HunterPotion,20,304
GravitationPotion,20,305
GoldChest,1,306
DaybloomSeeds,25,307
MoonglowSeeds,25,308
BlinkrootSeeds,25,309
DeathweedSeeds,25,310
WaterleafSeeds,25,311
FireblossomSeeds,25,312
Daybloom,25,313
Moonglow,25,314
Blinkroot,25,315
Deathweed,25,316
Waterleaf,25,317
Fireblossom,25,318
SharkFin,25,319
Feather,25,320
Tombstone,2,321
MimeMask,1,322
AntlionMandible,5,323
IllegalGunParts,1,324
TheDoctorsShirt,1,325
TheDoctorsPants,1,326
GoldenKey,3,327
ShadowChest,1,328
ShadowKey,1,329
ObsidianBrickWall,400,330
JungleSpores,25,331
Loom,1,332
Piano,1,333
Dresser,1,334
Bench,1,335
Bathtub,1,336
RedBanner,1,337
GreenBanner,1,338
BlueBanner,1,339
YellowBanner,1,340
LampPost,1,341
TikiTorch,1,342
Barrel,1,343
ChineseLantern,1,344
CookingPot,1,345
Safe,1,346
SkullLantern,1,347
TrashCan,1,348
Candelabra,1,349
PinkVase,1,350
Mug,1,351
Keg,1,352
Ale,20,353
Bookcase,1,354
Throne,1,355
Bowl,1,356
BowlofSoup,10,357
Toilet,1,358
GrandfatherClock,1,359
ArmorStatue,1,360
GoblinBattleStandard,3,361
TatteredCloth,25,362
Sawmill,1,363
CobaltOre,100,364
MythrilOre,100,365
AdamantiteOre,100,366
Pwnhammer,1,367
Excalibur,1,368
